title,text
A Dream of Trees,"
There is a thing in me that dreamed of trees,
A quiet house, some green and modest acres
A little way from every troubling town,
A little way from factories, schools, laments.
I would have time, I thought, and time to spare,
With only streams and birds for company,
To build out of my life a few wild stanzas.
And then it came to me, that so was death,
A little way away from everywhere.
There is a thing in me still dreams of trees.
But let it go. Homesick for moderation,
Half the world's artists shrink or fall away.
If any find solution, let him tell it.
Meanwhile I bend my heart toward lamentation
Where, as the times implore our true involvement,
The blades of every crisis point the way.
I would it were not so, but so it is.
Who ever made music of a mild day? "
A Letter from Home,"
She sends me news of blue jays, frost,
Of stars and now the harvest moon
That rides above the stricken hills.
Lightly, she speaks of cold, of pain,
And lists what is already lost.
Here where my life seems hard and slow,
I read of glowing melons piled
Beside the door, and baskets filled
With fennel, rosemary and dill,
While all she could not gather in
Or hid in leaves, grow black and falls.
Here where my life seems hard and strange,
I read her wild excitement when
Stars climb, frost comes, and blue jays sing.
The broken year will make no change
Upon her wise and whirling heart; -
She knows how people always plan
To live their lives, and never do.
She will not tell me if she cries.
I touch the crosses by her name;
I fold the pages as I rise,
And tip the envelope, from which
Drift scraps of borage, woodbine, rue. "
A Meeting,"
She steps into the dark swamp
where the long wait ends.
The secret slippery package
drops to the weeds.
She leans her long neck and tongues it
between breaths slack with exhaustion
and after a while it rises and becomes a creature
like her, but much smaller.
So now there are two. And they walk together
like a dream under the trees.
In early June, at the edge of a field
thick with pink and yellow flowers
I meet them.
I can only stare.
She is the most beautiful woman
I have ever seen.
Her child leaps among the flowers,
the blue of the sky falls over me
like silk, the flowers burn, and I want
to live my life all over again, to begin again,
to be utterly
wild."
A Visitor,"
My father, for example,
who was young once
and blue-eyed,
returns
on the darkest of nights
to the porch and knocks
wildly at the door,
and if I answer
I must be prepared
for his waxy face,
for his lower lip
swollen with bitterness.
And so, for a long time,
I did not answer,
but slept fitfully
between his hours of rapping.
But finally there came the night
when I rose out of my sheets
and stumbled down the hall.
The door fell open
and I knew I was saved
and could bear him,
pathetic and hollow,
with even the least of his dreams
frozen inside him,
and the meanness gone.
And I greeted him and asked him
into the house,
and lit the lamp,
and looked into his blank eyes
in which at last
I saw what a child must love,
I saw what love might have done
had we loved in time.



              From: 
                    Dream Work        






              Copyright ©: 
                    Mary Oliver        


"
An Afternoon In The Stacks,"
Closing the book, I find I have left my head
inside. It is dark in here, but the chapters open
their beautiful spaces and give a rustling sound,
words adjusting themselves to their meaning.
Long passages open at successive pages. An echo,
continuous from the title onward, hums
behind me. From in here, the world looms,
a jungle redeemed by these linked sentences
carved out when an author traveled and a reader
kept the way open. When this book ends
I will pull it inside-out like a sock
and throw it back in the library. But the rumor
of it will haunt all that follows in my life.
A candleflame in Tibet leans when I move. "
At Blackwater Pond,"
At Blackwater Pond the tossed waters have settled
after a night of rain.
I dip my cupped hands. I drink
a long time. It tastes
like stone, leaves, fire. It falls cold
into my body, waking the bones. I hear them
deep inside me, whispering
oh what is that beautiful thing
that just happened?"
At Great Pond,"
At Great Pond
the sun, rising,
scrapes his orange breast
on the thick pines,
and down tumble
a few orange feathers into
the dark water.
On the far shore
a white bird is standing
like a white candle ---
or a man, in the distance,
in the clasp of some meditation ---
while all around me the lilies
are breaking open again
from the black cave
of the night.
Later, I will consider
what I have seen ---
what it could signify ---
what words of adoration I might
make of it, and to do this
I will go indoors to my desk ---
I will sit in my chair ---
I will look back
into the lost morning
in which I am moving, now,
like a swimmer,
so smoothly,
so peacefully,
I am almost the lily ---
almost the bird vanishing over the water
on its sleeves of night."
August,"
When the blackberries hang
swollen in the woods, in the brambles
nobody owns, I spend
all day among the high
branches, reaching
my ripped arms, thinking
of nothing, cramming
the black honey of summer
into my mouth; all day my body
accepts what it is. In the dark
creeks that run by there is
this thick paw of my life darting among
the black bells, the leaves; there is
this happy tongue."
Aunt Leaf,"
Needing one, I invented her -
the great-great-aunt dark as hickory
called Shining-Leaf, or Drifting-Cloud
or The-Beauty-of-the-Night.
Dear aunt, I'd call into the leaves,
and she'd rise up, like an old log in a pool,
and whisper in a language only the two of us knew
the word that meant follow,
and we'd travel
cheerful as birds
out of the dusty town and into the trees
where she would change us both into something quicker -
two foxes with black feet,
two snakes green as ribbons,
two shimmering fish - and all day we'd travel.
At day's end she'd leave me back at my own door
with the rest of my family,
who were kind, but solid as wood
and rarely wandered. While she,
old twist of feathers and birch bark,
would walk in circles wide as rain and then
float back
scattering the rags of twilight
on fluttering moth wings;
or she'd slouch from the barn like a gray opossum;
or she'd hang in the milky moonlight
burning like a medallion,
this bone dream, this friend I had to have,
this old woman made out of leaves. "
Beyond the Snow Belt,"
Over the local stations, one by one,
Announcers list disasters like dark poems
That always happen in the skull of winter.
But once again the storm has passed us by:
Lovely and moderate, the snow lies down
While shouting children hurry back to play,
And scarved and smiling citizens once more
Sweep down their easy paths of pride and welcome.
And what else might we do? Les us be truthful.
Two counties north the storm has taken lives.
Two counties north, to us, is far away, -
A land of trees, a wing upon a map,
A wild place never visited, - so we
Forget with ease each far mortality.
Peacefully from our frozen yards we watch
Our children running on the mild white hills.
This is the landscape that we understand, -
And till the principle of things takes root,
How shall examples move us from our calm?
I do not say that is not a fault.
I only say, except as we have loved,
All news arrives as from a distant land. "
