title,text
A Dog Has Died ,"
My dog has died.
I buried him in the garden
next to a rusted old machine.
Some day I'll join him right there,
but now he's gone with his shaggy coat,
his bad manners and his cold nose,
and I, the materialist, who never believed
in any promised heaven in the sky
for any human being,
I believe in a heaven I'll never enter.
Yes, I believe in a heaven for all dogdom
where my dog waits for my arrival
waving his fan-like tail in friendship.
Ai, I'll not speak of sadness here on earth,
of having lost a companion
who was never servile.
His friendship for me, like that of a porcupine
withholding its authority,
was the friendship of a star, aloof,
with no more intimacy than was called for,
with no exaggerations:
he never climbed all over my clothes
filling me full of his hair or his mange,
he never rubbed up against my knee
like other dogs obsessed with sex.
No, my dog used to gaze at me,
paying me the attention I need,
the attention required
to make a vain person like me understand
that, being a dog, he was wasting time,
but, with those eyes so much purer than mine,
he'd keep on gazing at me
with a look that reserved for me alone
all his sweet and shaggy life,
always near me, never troubling me,
and asking nothing.
Ai, how many times have I envied his tail
as we walked together on the shores of the sea
in the lonely winter of Isla Negra
where the wintering birds filled the sky
and my hairy dog was jumping about
full of the voltage of the sea's movement:
my wandering dog, sniffing away
with his golden tail held high,
face to face with the ocean's spray.
Joyful, joyful, joyful,
as only dogs know how to be happy
with only the autonomy
of their shameless spirit.
There are no good-byes for my dog who has died,
and we don't now and never did lie to each other.
So now he's gone and I buried him,
and that's all there is to it."
A Lemon,"

Out of lemon flowers
loosed
on the moonlight, love's
lashed and insatiable
essences,
sodden with fragrance,
the lemon tree's yellow
emerges,
the lemons
move down
from the tree's planetarium
Delicate merchandise!
The harbors are big with it-
bazaars
for the light and the
barbarous gold.
We open
the halves
of a miracle,
and a clotting of acids
brims
into the starry
divisions:
creation's
original juices,
irreducible, changeless,
alive:
so the freshness lives on
in a lemon,
in the sweet-smelling house of the rind,
the proportions, arcane and acerb.
Cutting the lemon
the knife
leaves a little cathedral:
alcoves unguessed by the eye
that open acidulous glass
to the light; topazes
riding the droplets,
altars,
aromatic facades.
So, while the hand
holds the cut of the lemon,
half a world
on a trencher,
the gold of the universe
wells
to your touch:
a cup yellow
with miracles,
a breast and a nipple
perfuming the earth;
a flashing made fruitage,
the diminutive fire of a planet."
A Song Of Despair,"
The memory of you emerges from the night around me.
The river mingles its stubborn lament with the sea.
Deserted like the dwarves at dawn.
It is the hour of departure, oh deserted one!
Cold flower heads are raining over my heart.
Oh pit of debris, fierce cave of the shipwrecked.
In you the wars and the flights accumulated.
From you the wings of the song birds rose.
You swallowed everything, like distance.
Like the sea, like time. In you everything sank!
It was the happy hour of assault and the kiss.
The hour of the spell that blazed like a lighthouse.
Pilot's dread, fury of blind driver,
turbulent drunkenness of love, in you everything sank!
In the childhood of mist my soul, winged and wounded.
Lost discoverer, in you everything sank!
You girdled sorrow, you clung to desire,
sadness stunned you, in you everything sank!
I made the wall of shadow draw back,
beyond desire and act, I walked on.
Oh flesh, my own flesh, woman whom I loved and lost,
I summon you in the moist hour, I raise my song to you.
Like a jar you housed infinite tenderness.
and the infinite oblivion shattered you like a jar.
There was the black solitude of the islands,
and there, woman of love, your arms took me in.
There was thirst and hunger, and you were the fruit.
There were grief and ruins, and you were the miracle.
Ah woman, I do not know how you could contain me
in the earth of your soul, in the cross of your arms!
How terrible and brief my desire was to you!
How difficult and drunken, how tensed and avid.
Cemetery of kisses, there is still fire in your tombs,
still the fruited boughs burn, pecked at by birds.
Oh the bitten mouth, oh the kissed limbs,
oh the hungering teeth, oh the entwined bodies.
Oh the mad coupling of hope and force
in which we merged and despaired.
And the tenderness, light as water and as flour.
And the word scarcely begun on the lips.
This was my destiny and in it was my voyage of my longing,
and in it my longing fell, in you everything sank!
Oh pit of debris, everything fell into you,
what sorrow did you not express, in what sorrow are you not drowned!
From billow to billow you still called and sang.
Standing like a sailor in the prow of a vessel.
You still flowered in songs, you still brike the currents.
Oh pit of debris, open and bitter well.
Pale blind diver, luckless slinger,
lost discoverer, in you everything sank!
It is the hour of departure, the hard cold hour
which the night fastens to all the timetables.
The rustling belt of the sea girdles the shore.
Cold stars heave up, black birds migrate.
Deserted like the wharves at dawn.
Only tremulous shadow twists in my hands.
Oh farther than everything. Oh farther than everything.
It is the hour of departure. Oh abandoned one!"
Absence,"

I have scarcely left you
When you go in me, crystalline,
Or trembling,
Or uneasy, wounded by me
Or overwhelmed with love, as
when your eyes
Close upon the gift of life
That without cease I give you.
My love,
We have found each other
Thirsty and we have
Drunk up all the water and the
Blood,
We found each other
Hungry
And we bit each other
As fire bites,
Leaving wounds in us.
But wait for me,
Keep for me your sweetness.
I will give you too
A rose."
Algunas Bestias,"

Era el crepúsculo de la iguana.
Desde la arcoirisada crestería
su leengua como un dardo
se hundía en la verdura,
el hormiguero monacal pisaba
con melodioso pie la selva,
el guanaco fino como el oxigeno
en las anchas alturas pardas
iba calzando botas de oro,
mientras la llama abria cándidos
ojos en la delicadeza
del mundo lleno de rocio.
Los monos trenzaban un hilo
interminablemente erótico
en las riberas de la aurora,
derribando muros de polen
y espantando el vuelo violeta
de las mariposas de Muzo
Era la noche de los caimanes,
la noche pura y pululante
de hocicos saliendo del légamo,
y de las ciénagas soñolientas
un ruido opaco de armaduras
volvía al origen terrestre.
El jaguar tocaba las hojas
con su ausencia fosforescente,
el puma corre en el ramaje
como el fuego devorador
mientras arden en él los ojos
alcohólicos de la selva.
Los tejones rascan los pies
del río, husmean el nido
cuya delicia palpitante
atacarán con dientes rojos.
Y en el fondo del agua magna,
como el círulo de la tierra,
está la gigante anaconda
cubierta de barros rituales,
devoradora y religiosa."
Always,"
I am not jealous
of what came before me.
Come with a man
on your shoulders,
come with a hundred men in your hair,
come with a thousand men between your breasts and your feet,
come like a river
full of drowned men
which flows down to the wild sea,
to the eternal surf, to Time!
Bring them all
to where I am waiting for you;
we shall always be alone,
we shall always be you and I
alone on earth
to start our life!"
And because Love battles,"
And because love battles
not only in its burning agricultures
but also in the mouth of men and women,
I will finish off by taking the path away
to those who between my chest and your fragrance
want to interpose their obscure plant.
About me, nothing worse
they will tell you, my love,
than what I told you.
I lived in the prairies
before I got to know you
and I did not wait love but I was
laying in wait for and I jumped on the rose.
What more can they tell you?
I am neither good nor bad but a man,
and they will then associate the danger
of my life, which you know
and which with your passion you shared.
And good, this danger
is danger of love, of complete love
for all life,
for all lives,
and if this love brings us
the death and the prisons,
I am sure that your big eyes,
as when I kiss them,
will then close with pride,
into double pride, love,
with your pride and my pride.
But to my ears they will come before
to wear down the tour
of the sweet and hard love which binds us,
and they will say: “The one
you love,
is not a woman for you,
Why do you love her? I think
you could find one more beautiful,
more serious, more deep,
more other, you understand me, look how she’s light,
and what a head she has,
and look at how she dresses,
and etcetera and etcetera”.
And I in these lines say:
Like this I want you, love,
love, Like this I love you,
as you dress
and how your hair lifts up
and how your mouth smiles,
light as the water
of the spring upon the pure stones,
Like this I love you, beloved.
To bread I do not ask to teach me
but only not to lack during every day of life.
I don’t know anything about light, from where
it comes nor where it goes,
I only want the light to light up,
I do not ask to the night
explanations,
I wait for it and it envelops me,
And so you, bread and light
And shadow are.
You came to my life
with what you were bringing,
made
of light and bread and shadow I expected you,
and Like this I need you,
Like this I love you,
and to those who want to hear tomorrow
that which I will not tell them, let them read it here,
and let them back off today because it is early
for these arguments.
Tomorrow we will only give them
a leaf of the tree of our love, a leaf
which will fall on the earth
like if it had been made by our lips
like a kiss which falls
from our invincible heights
to show the fire and the tenderness
of a true love. "
Bird,"

It was passed from one bird to another,
the whole gift of the day.
The day went from flute to flute,
went dressed in vegetation,
in flights which opened a tunnel
through the wind would pass
to where birds were breaking open
the dense blue air -
and there, night came in.
When I returned from so many journeys,
I stayed suspended and green
between sun and geography -
I saw how wings worked,
how perfumes are transmitted
by feathery telegraph,
and from above I saw the path,
the springs and the roof tiles,
the fishermen at their trades,
the trousers of the foam;
I saw it all from my green sky.
I had no more alphabet
than the swallows in their courses,
the tiny, shining water
of the small bird on fire
which dances out of the pollen."
Brown And Agile Child,"

Brown and agile child, the sun which forms the fruit
And ripens the grain and twists the seaweed
Has made your happy body and your luminous eyes
And given your mouth the smile of water.
A black and anguished sun is entangled in the twigs
Of your black mane when you hold out your arms.
You play in the sun as in a tidal river
And it leaves two dark pools in your eyes.
Brown and agile child, nothing draws me to you,
Everything pulls away from me here in the noon.
You are the delirious youth of bee,
The drunkedness of the wave, the power of the heat.
My somber heart seeks you always
I love your happy body, your rich, soft voice.
Dusky butterfly, sweet and sure
Like the wheat field, the sun, the poppy, and the water."
"Carnal Apple, Woman Filled, Burning Moon","
Carnal apple, Woman filled, burning moon,
dark smell of seaweed, crush of mud and light,
what secret knowledge is clasped between your pillars?
What primal night does Man touch with his senses?
Ay, Love is a journey through waters and stars,
through suffocating air, sharp tempests of grain:
Love is a war of lightning,
and two bodies ruined by a single sweetness.
Kiss by kiss I cover your tiny infinity,
your margins, your rivers, your diminutive villages,
and a genital fire, transformed by delight,
slips through the narrow channels of blood
to precipitate a nocturnal carnation,
to be, and be nothing but light in the dark."
