title,text
A beautiful river and man the murderer,"
Today i pass through the rugged land
looks like a dying labourer's wretched hand
Where once huge trees grew
innumerable stumps stand
like burnt matchsticks
stuck in the sand
At the long dry trench i stare
A beautiful river once flowed here
In a passing truck corpses of trees squeal
The selfish murderer in man they reveal



              From: 
                    Azam Siddiqui        






              Copyright ©: 
                    Azam Siddiqui Best poems.net        


"
A Bunch of Roses,"
Roses ruddy and roses white,
What are the joys that my heart discloses?
Sitting alone in the fading light
Memories come to me here tonight
With the wonderful scent of the big red roses.
Memories come as the daylight fades
Down on the hearth where the firelight dozes;
Flicker and flutter the lights and shades,
And I see the face of a queen of maids
Whose memory comes with the scent of roses.
Visions arise of a scent of mirth,
And a ball-room belle who superbly poses --
A queenly woman of queenly worth,
And I am the happiest man on earth
With a single flower from a bunch of roses.
Only her memory lives tonight --
God in his wisdom her young life closes;
Over her grave may the turf be light,
Cover her coffin with roses white
She was always fond of the big white roses.
*
Such are the visions that fade away --
Man proposes and God disposes;
Look in the glass and I see today
Only an old man, worn and grey,
Bending his head to a bunch of roses."
"A child said, What is the grass","
A child said, What is the grass? fetching it to me with full
	hands;
How could I answer the child?. . . .I do not know what it
	is any more than he.
I guess it must be the flag of my disposition, out of hopeful
	green stuff woven.
Or I guess it is the handkerchief of the Lord,
A scented gift and remembrancer designedly dropped,
Bearing the owner's name someway in the corners, that we
	may see and remark, and say Whose?
Or I guess the grass is itself a child. . . .the produced babe
	of the vegetation.
Or I guess it is a uniform hieroglyphic,
And it means, Sprouting alike in broad zones and narrow
	zones,
Growing among black folks as among white,
Kanuck, Tuckahoe, Congressman, Cuff, I give them the
same, I receive them the same.
And now it seems to me the beautiful uncut hair of graves.
Tenderly will I use you curling grass,
It may be you transpire from the breasts of young men,
It may be if I had known them I would have loved them;
It may be you are from old people and from women, and
	from offspring taken soon out of their mother's laps,
And here you are the mother's laps.
This grass is very dark to be from the white heads of old
	mothers,
Darker than the colorless beards of old men,
Dark to come from under the faint red roofs of mouths.
O I perceive after all so many uttering tongues!
And I perceive they do not come from the roofs of mouths
	for nothing.
I wish I could translate the hints about the dead young men
	and women,
And the hints about old men and mothers, and the offspring
	taken soon out of their laps.
What do you think has become of the young and old men?
What do you think has become of the women and
	children?
They are alive and well somewhere;
The smallest sprouts show there is really no death,
And if ever there was it led forward life, and does not wait
	at the end to arrest it,
And ceased the moment life appeared.
All goes onward and outward. . . .and nothing collapses,
And to die is different from what any one supposed, and
	luckier."
A Coloured Print by Shokei,"
It winds along the face of a cliff
This path which I long to explore,
And over it dashes a waterfall,
And the air is full of the roar
And the thunderous voice of waters which sweep
In a silver torrent over some steep.
It clears the path with a mighty bound
And tumbles below and away,
And the trees and the bushes which grow in the rocks
Are wet with its jewelled spray;
The air is misty and heavy with sound,
And small, wet wildflowers star the ground.
Oh! The dampness is very good to smell,
And the path is soft to tread,
And beyond the fall it winds up and on,
While little streamlets thread
Their own meandering way down the hill
Each singing its own little song, until
I forget that 't is only a pictured path,
And I hear the water and wind,
And look through the mist, and strain my eyes
To see what there is behind;
For it must lead to a happy land,
This little path by a waterfall spanned."
A Friend In Nature,"
I've found a friend in nature
although nature could turn on me
if i'm out and about in a storm
and its lightning strikes me
if a tidal wave sweeps me far out to sea
or a poisonous snake takes a bite of me
if a tornado twirls me high into the sky
yes, the irony is that nature which
i find so enchanting
could one day cause my demise "
A Letter To A  Green Leaf,"
Dear Leaf,
Up in the tree, what were you waving at?
Of course you were hiding birds, you let
The red ant stumble upon you with his prized dead bee.
And you held the breeze twirling
in your lifeline, and blushed in the evening rain.
All that you did well. You took a longing look
Wondering if the sun
Would keep loving you until the end of time. I know you
Did that, you had your problems and doubts
If love would after all be true until then.
And so today when I walked beneath you,
I did not  care that
you had turned red so soon.
And that you were waiting, waiting for me
To come by.  There is
no disgrace dear,
Losing to the sun, the wind and rain,
the last raiment of your breath
We all do, we always do. Like you thought
If you broke away from the tree
You could fly away.
A new life breathless in the long arms of the river
and that there would be love again there.
Or upon the stone,
and its hard caress . But then like the others,
love simmered in the distance,
and as you leaned out to touch,
 you fell.



              From: 
                    The Zong        






              Copyright ©: 
                    Gopikrishnan Kottoor        


"
A Poem about Nature,"
As a child I was taught poems about nature.
I didn't really know what that meant.
Nature was the park at the end of the street
Where you weren't allowed to walk on the grass
And bushes and trees were trimmed and civilised.
In the park I was allowed to run
If I was careful not to bump into someone.
I was allowed to talk and sing,
But not shout.
Nature was a closed-off park.
At school,
I dutifully learned by heart
That nature was beautiful.
I watched the leaves in the park
Turning to so-called gold
And falling off.
That was poetry.
I lost interest
For the next thirty years.
Then I wrote a poem
About a building in a grey street
With rows of identical windows
And television antennas.
I had freed myself from nature.
Now at the bottom of my street
There is another park.
Childen and dogs roll around on the grass.
The air smells of pine.
Bushes, trees and flowers run wild.
No one tells you to be quiet.
I sit there
And listen
And write."
A Sylvan Scene,"
I shall not go thither,
Here are oaks, here is the galingale,
Here bees hum sweetly around their hives;
Here are two springs of coolest water,
Here birds warble on the trees,
Nor is there any shade
Equal to that beside thee,
And the pine showers its cones from on high."
a walk in the forest,"
the forest takes one
for a quiet walk in the morning;
of oneself
and the solitude and the path and the trees
and the air and the stillness and the undefined sunlight;
a moment of lightness, an instant of calm;
did one come from the walk?



              From: 
                    companion picture: Morning Forest by Alexander Nevzorov        






              Copyright ©: 
                    Raj Arumugam        


"
A Winter Wish,"
OLD wine to drink!
    Ay, give the slippery juice
That drippeth from the grape thrown loose
    Within the tun;
Plucked from beneath the cliff
Of sunny-sided Teneriffe,
  And ripened 'neath the blink
    Of India's sun!
    Peat whiskey hot,
Tempered with well-boiled water!
These make the long night shorter,
    Forgetting not
Good stout old English porter.   
  Old wood to burn!
Ay, bring the hillside beech
From where the owlets meet and screech,
    And ravens croak;
The crackling pine, and cedar sweet;
Bring too a clump of fragrant peat,
  Dug 'neath the fern;
    The knotted oak,
    A fagot too, perhap,
Whose bright flame, dancing, winking,
Shall light us at our drinking;
    While the oozing sap
Shall make sweet music to our thinking.   
  Old books to read!
Ay, bring those nodes of wit,
The brazen-clasped, the vellum writ,
    Time-honored tomes!
The same my sire scanned before,
The same my grandsire thumbèd o'er,
The same his sire from college bore,
  The well-earned meed
    Of Oxford's domes:
    Old Homer blind,
Old Horace, rake Anacreon, by
Old Tully, Plautus, Terence lie;
Mort Arthur's olden minstrelsie,
Quaint Burton, quainter Spenser, ay!
And Gervase Markham's venerie—
    Nor leave behind
The holye Book by which we live and die.   
  Old friends to talk!
Ay, bring those chosen few,
The wise, the courtly, and the true,
    So rarely found;
Him for my wine, him for my stud,
Him for my easel, distich, bud
  In mountain walk!
    Bring Walter good,
With soulful Fred, and learned Will,
And thee, my alter ego (dearer still
    For every mood).
These add a bouquet to my wine!
These add a sparkle to my pine!
    If these I tine,
Can books, or fire, or wine be good? "
Afoot In The Snow,"
Pale moon shadows fall upon the lone rusted lantern and pole
In the snow where do these sole footprints go?
Looking lonely in the lantern’s yellow glow
Who lit this light in such a night?
I follow them, syncopated in time
Now they seem to pace steadier, faster, with no reason or rhyme
The whiteness is cold, and at the same time charming
Its existence is beautiful, quiet and disarming
The footprints move by the old wooden fence
My sense of aloneness brings me a warmth and pleasance
The footprints head towards old Carter’s well
So I march on for this mystery to quell
Snow under my feet crunches and chimes
Bricks and roof have toppled with time
I wonder to myself of a time distant past
When this well was alive and down the bucket was cast
The footprints stop here, at the well and trees
They do not continue on as far as I can see
Searching for more ‘round winter’s trees branches bare
That hide springtime’s hidden flora, fauna and flair
And now I wonder how I was led
Down this path in this peaceful stead
There is nobody to be seen, anywhere, no voice
I have no choice
To move along, to go, afoot in the snow



              Copyright ©: 
                    Wandering Satellite Publishing 2012        


"
ah poor moon,"
ah poor moon
you're just hanging around
and through no fault of your own
you attract all these weirdos
these lunatics
and the vampires and the blood-sucking bats
and the sleep-walkers and murderers
and the flesh-eaters
(the moon made me do it!)
and the lunatics
and the werewolves
and even stock-pickers
and wild women who want to kill Orpheus
O poor moon
you're just about your own radiant business
and all these freaks put it at your doorstep



              Copyright ©: 
                    Raj Arumugam        


"
"ah, happy crow","
ah, happy crow
(uncaring that humans may
not find you very pleasant)
you sit on the branch of that shady tree
and you peck at a bone you've brought yourself
and you are busy, busy, busy eating;
and I, happy too, sit here
at a table, eating my sandwich
and sipping a little water
ah, happy crow busy, busy eating
(uncaring that many humans may
not find you very pleasant)
I know your happiness
and you know mine;
and thus we sit at our spots
eating the bits we find



              Copyright ©: 
                    Raj Arumugam        


"
Alba,"
ALBA
Il cielo è un acquarello
di pallidi rosa e persi azzurri
mentre il vento scivola
tra l'umido verde brillare nel sole
a rapire dall'aria
un fresco odore di vita
e portarlo al mio cuore.
[Translation to English]
TWILIGHT
The sky is a watercolor
of pale pinks and stray blues
while the wind slips
amidst the muggy green
sparkling in the sun
to steal from air
a fresh smell of life
and bring it to my heart.



              From: 
                    Dario de Judicibus        






              Copyright ©: 
                    Dario de Judicibus 1978-2011        


"
An Asphodel,"
O dear sweet rosy
unattainable desire
...how sad, no way
to change the mad
cultivated asphodel, the
visible reality...
and skin's appalling
petals--how inspired
to be so Iying in the living
room drunk naked
and dreaming, in the absence
of electricity...
over and over eating the low root
of the asphodel,
gray fate...
rolling in generation
on the flowery couch
as on a bank in Arden--
my only rose tonite's the treat
of my own nudity.
Fall, 1953"
An Evident Soul,"
I am not confound and confused,
Like any arguing philosopher,
Or calculating mathematician,
For I can observe with vivid vision,
An evident soul hiding, concealing,
In layers of the colours, and fragrance,
Enveloping the whole scheme,
Manifesting in countless forms,
But living behind in unique singularity.



              From: 
                    Shahida Latif        


"
Another on Eurymedon,"
Prove, traveller, now, that you honour the brave
Above the poltroon, when he's laid in the grave,
By murmuring 'Peace to Eurymedon dead.'
The turf should lie light on so sacred a head."
Apologies to Lake,"
Lake, I am more wet than youI experienced wetness, knowing the wetness isnot dry, what you do not knowand really not experiencedbut I tell you
Lake, you do not think yourself drytoo. Coz you are wet, dryness isnot wet, it is in my experience oflacking water, is what you have not thought, youtoo do not think, actually why thinkingis dry, lake
Lake, only one reason of the blowing of thewind, wind is blowing. Ripplesis but the waves on surface, I understandmy experiencebut lake, you do not know yourself,without knowing, not knowing self is movingtoo. This I do not want tohide from you, nothingto behidden.
Lake, yes lake. Changingexperiencing incidents and timeis the word is me. Lake, apologies to youcoz a matter of accepting apology, this too youdo not know.



              Copyright ©: 
                    Lim Siek Lik        


"
As Through the Wild Green Hills of Wyre,"
As through the wild green hills of Wyre
The train ran, changing sky and shire,
And far behind, a fading crest,
Low in the forsaken west
Sank the high-reared head of Clee,
My hand lay empty on my knee.
Aching on my knee it lay:
That morning half a shire away
So many an honest fellow's fist
Had well-nigh wrung it from the wrist.
Hand, said I, since now we part
From fields and men we know by heart,
For strangers' faces, strangers' lands,--
Hand, you have held true fellows' hands.
Be clean then; rot before you do
A thing they'll not believe of you.
You and I must keep from shame
In London streets the Shropshire name;
On banks of Thames they must not say
Severn breeds worse men than they;
And friends abroad must bear in mind
Friends at home they leave behind.
Oh, I shall be stiff and cold
When I forget you, hearts of gold;
The land where I shall mind you not
Is the land where all's forgot.
And if my foot returns no more
To Teme nor Corve nor Severn shore,
Luck, my lads, be with you still
By falling stream and standing hill,
By chiming tower and whispering tree,
Men that made a man of me.
About your work in town and farm
Still you'll keep my head from harm,
Still you'll help me, hands that gave
A grasp to friend me to the grave."
At Katibawasan,"
It is not true
that all things
are born
in warmth.
A strong stem
of white water
plunges into
a corner of
the emerald pool.
My arms are
outstretched
pale greeen
beneath
the water.
Swallows crush
their wings
against
the water's surface.
And I am in the
grip
of some
nameless ecstasy,
emerging from
water
cold
as ice. 



              Copyright ©: 
                    Justine Camacho Tajonera        


"
August,"
Alone in the deep August
must have to find the spirit
secluding from the narrow pathways
to a tiny heart as a guest
just below where the sky
turns saffron in the evening
a song perched too or a flight
on the winds not knowing  why
a stout tree with branches
no longer than the span of an overlooking
its leaves a little fuchsia, a little tangerine
almost dropping for the chances
when must an eager climb
learn the soft spots and hard cores
like a leaf to waft away
and the passing wind chime
we move as the gentle waves
return to oneself
counting the figures on the lines
on our hands. 



              Copyright ©: 
                    Neelam Dadhwal        


"
